Date,Open,High,Low,Close,Adj Close,Volume,Prev_Close
2024-05-09,182.74000549316406,184.5674055480957,180.91260543823242,183.31939659624283,182.4924774169922,45057100,182.74000549316406
2024-05-10,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
2024-05-11,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
2024-05-12,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
2024-05-13,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
2024-05-14,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
2024-05-15,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
2024-05-16,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
2024-05-17,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
2024-05-18,183.31939659624283,185.15259056220526,181.4862026302804,183.31939659624283,182.4924774169922,45057100,183.31939659624283
